Title,Duration,Country,Director,Avg_vote
KuToppen,66,Norway,Lise I. Osvoll,5.3
Virus,152,India,Aashiq Abu,8.0
Koko A Red Dog Story,78,Australia,Dominic Pearce,6.0
Lingua Franca,89,Philippines,Isabel Sandoval,6.4
Lonappante Mammodheesa,136,India,Leo Thaddeus,5.9
Aadai,143,India,Rathna Kumar,6.3
Centigrade,98,USA,Brendan Walsh,3.9
SGaawaay K'uuna,101,Canada,Gwaai Edenshaw,6.2
The Blackwell Ghost 2,68,USA,Turner Clay,5.6
De forbandede Ayr,152,Denmark,Anders Refn,6.5
Foxtrot Six,114,USA,Randy Korompis,5.6
Jersey,157,India,Gowtam Tinnanuri,8.5
Somos Calentura,104,Colombia,Jorge Navas,6.2
Beol-sae,138,South Korea,Bora Kim,7.4
La sfida delle mogli,112,UK,Peter Cattaneo,6.4
Ritorno a Midway,87,USA,Jeffrey Day,5.4
Mushkil,130,India,Rajiv S. Ruia,5.0
Giraffe,82,Germany,Anna Sofie Hartmann,6.1
Exil,121,Kosovo,Visar Morina,6.8
Rojo,109,Brazil,Benjama­n Naishtat,6.4
Mr. and Ms. Rowdy,146,India,Jeethu Joseph,4.7
Skazhene vesillya,90,Ukraine,Vladyslav Klimchuk,6.2
Valhalla,105,Norway,Fenar Ahmad,5.5
Petta,171,India,Karthik Subbaraj,7.2
Eksi Bir,96,Turkey,Orhan Oguz,6.5
Asih,77,Indonesia,Awi Suryadi,5.3
Selvhenter,91,Denmark,Magnus Millang,6.0
60 Vayadu Maaniram,136,India,Radha Mohan,6.6
Olympic Dreams,85,South Korea,Jeremy Teicher,5.7
Shomareh 17 Soheila,78,Iran,Mahmoud Ghaffari,5.7
Adopt a Highway,81,USA,Logan Marshall-Green,6.2
Chui shao ren,134,China,Xiaolu Xue,4.9
Greed,104,UK,Michael Winterbottom,5.7
I Am Vengeance: Retaliation,82,UK,Ross Boyask,3.7
De belofte van Pisa,105,Netherlands,Norbert ter Hall,6.7
Nevrland,88,Austria,Gregor Schmidinger,5.5
Litus,85,Spain,Dani de la Orden,6.4
American Hangman,99,Canada,Wilson Coneybeare,5.9